Gene	SeqId	Protein..short.name.	UniProt	Ensembl.Gene.ID	Chr	Start	End
RAP1GAP	13735_1	RPGP1	P47736	ENSG00000076864	1	21596214	21669363
RAP1GDS1	14106_46	GDP/GTP exchange protein	P52306	ENSG00000138698	4	98261383	98443861
RAP2A	9885_41	RAP2A	P10114	ENSG00000125249	13	97434221	97469128
RAPGEF5	9059_14	RPGF5	Q92565	ENSG00000136237	7	22118237	22357144
RARRES1	8398_277	RAR-responsive protein TIG1	P49788	ENSG00000118849	3	158696891	158732696
RARRES2	3079_62	TIG2	Q99969	ENSG00000106538	7	150338316	150341674
RARRES3	10961_15	TIG3	Q9UL19	ENSG00000133321	11	63536808	63546462
RASA1	5481_16	RASA1	P20936	ENSG00000145715	5	87267887	87391931
RB1	5024_67	Rb	P06400	ENSG00000139687	13	48303750	48481986
RBBP4	15331_47	RBBP4	Q09028	ENSG00000162521	1	32651141	32686211
RBBP5	13631_1	RB binding protein 5	Q15291	ENSG00000117222	1	205086141	205122015
RBBP6	9887_40	RBBP6	Q7Z6E9	ENSG00000122257	16	24537692	24572863
RBBP9	10064_12	RBBP9	O75884	ENSG00000089050	20	18486539	18497243
RBFOX2	11462_8	RBM9	O43251	ENSG00000100320	22	35738735	36028425
RBKS	19467_3	RBSK	Q9H477	ENSG00000171174	2	27781363	27891098
RBL1	12879_5	p107	P28749	ENSG00000080839	20	36996348	37095995
RBL2	13565_2	p130	Q08999	ENSG00000103479	16	53433976	53491649
RBM17	17391_10	SPF45	Q96I25	ENSG00000134453	10	6088986	6117457
RBM19	11468_15	RBM19	Q9Y4C8	ENSG00000122965	12	113816737	113966371
RBM22	12980_31	RBM22	Q9NW64	ENSG00000086589	5	150690793	150701107
RBM23	11590_5	RBM23	Q86U06	ENSG00000100461	14	22893205	22919184
RBM24	11380_84	RBM24	Q9BX46	ENSG00000112183	6	17281345	17293875
RBM3	12747_89	RBM3	P98179	ENSG00000102317	X	48574449	48581162
RBM39	4284_18	RBM39	Q14498	ENSG00000131051	20	35701346	35742312
RBM46	13958_5	RBM46	Q8TBY0	ENSG00000151962	4	154781212	154828813
RBP1	19279_42	CRBP	P09455	ENSG00000114115	3	139517433	139539829
RBP4	15633_6	RBP	P02753	ENSG00000138207	10	93591686	93601744
RBP5	19241_31	RBP-III	P82980	ENSG00000139194	12	7123683	7128942
RBP7	14208_3	RET7	Q96R05	ENSG00000162444	1	9997205	10016020
RCAN1	13465_5	CCP1	P53805	ENSG00000159200	21	34513141	34615142
RCL	17785_11	RCL	O43598	ENSG00000112667	6	43225629	43229481
RCN1	9322_15	RCN1	Q15293	ENSG00000049449	11	31812390	32105755
RCN3	16858_384	RCN3	Q96D15	ENSG00000142552	19	49527617	49546962
RCVRN	14334_3	RECO	P35243	ENSG00000109047	17	9896319	9905621
RDH16	12881_17	RDH16	O75452	ENSG00000139547	12	56951430	56959374
RDX	18373_13	Radixin	P35241	ENSG00000137710	11	110174879	110296722
RECQL	11431_235	RECQ1	P46063	ENSG00000004700	12	21468910	21501669
REG1A	13095_51	PSP	P05451	ENSG00000115386	2	79120361	79123419
REG1B	16770_3	REG1B	P48304	ENSG00000172023	2	79085029	79088019
REG3A	15304_1	PAP1	Q06141	ENSG00000172016	2	79157002	79159753
REG3G	15476_6	REG3G	Q6UW15	ENSG00000143954	2	79025685	79028505
REG4	11102_22	REG4	Q9BYZ8	ENSG00000134193	1	119794017	119811660
RELB	11464_9	RELB	Q01201	ENSG00000104856	19	45001429	45038198
RELL1	13399_33	RELL1	Q8IUW5	ENSG00000181826	4	37590799	37686376
RELL2	6600_70	RELL2	Q8NC24	ENSG00000164620	5	141636949	141641077
RELT	14112_40	RELT	Q969Z4	ENSG00000054967	11	73376263	73397474
REN	3396_54	Renin	P00797	ENSG00000143839	1	204154818	204190324
REPIN1	13554_78	REPI1	Q9BWE0	ENSG00000214022	7	150368188	150374044
RERG	17822_57	RERG	Q96A58	ENSG00000134533	12	15107782	15348675
RET	3220_40	RET	P07949	ENSG00000165731	10	43077026	43130351
RETN	3046_31	resistin	Q9HD89	ENSG00000104918	19	7669043	7670454
REXO2	13590_1	ORN	Q9Y3B8	ENSG00000076043	11	114439385	114450279
RFESD	13603_7	RFESD	Q8TAC1	ENSG00000175449	5	95646753	95684773
RFFL	14186_13	RFFL	Q8WZ73	ENSG00000092871	17	35005989	35089319
RFK	13059_33	RIFK	Q969G6	ENSG00000135002	9	76385516	76394517
RFNG	7203_125	RFNG	Q9Y644	ENSG00000169733	17	82047901	82051831
RFXAP	12726_3	RFXAP	O00287	ENSG00000133111	13	36819223	36829104
RGMA	5483_1	RGMA	Q96B86	ENSG00000182175	15	93035272	93089204
RGMB	3331_8	RGMB	Q6NW40	ENSG00000174136	5	98768649	98798643
RGS1	18945_11	RGS1	Q08116	ENSG00000090104	1	192575726	192580031
RGS10	11634_32	RGS10	O43665	ENSG00000148908	10	119499827	119542708
RGS18	13982_33	RGS18	Q9NS28	ENSG00000150681	1	192158456	192185815
RGS19	12713_365	RGS19	P49795	ENSG00000171700	20	64073180	64079988
RGS21	19381_7	RGS21	Q2M5E4	ENSG00000253148	1	192316991	192367285
RGS3	12827_37	RGS3	P49796	ENSG00000138835	9	113444730	113597743
RGS4	17855_28	RGS4	P49798	ENSG00000117152	1	163068774	163076802
RGS5	16850_5	RGS5	O15539	ENSG00000143248	1	163111120	163321894
RGS7	12538_19	RGS7	P49802	ENSG00000182901	1	240775514	241357230
RGS8	11666_72	RGS8	P57771	ENSG00000135824	1	182641815	182684576
RHOA	9855_10	Rho A	P61586	ENSG00000067560	3	49359144	49412998
RHOB	18166_4	RHOB	P62745	ENSG00000143878	2	20447073	20449445
RHOC	17764_108	RHOC	P08134	ENSG00000155366	1	112701105	112707434
RHOD	12442_4	RHOD	O00212	ENSG00000173156	11	67056817	67072013
RHOG	12540_25	RHOG	P84095	ENSG00000177105	11	3826977	3840983
RHPN2	11439_88	RHPN2	Q8IUC4	ENSG00000131941	19	32978592	33064888
RIC3	11228_37	RIC3	Q7Z5B4	ENSG00000166405	11	8106092	8169055
RIPK2	8993_151	RIPK2	O43353	ENSG00000104312	8	89757746	89791063
RIPK2	8970_9	RIPK2	O43353	ENSG00000104312	8	89757746	89791063
RIPPLY1	9767_22	RIPP1	Q0D2K3	ENSG00000147223	X	106900063	106903341
RLBP1	12936_38	RLBP1	P12271	ENSG00000140522	15	89209868	89221751
RLN2	6621_10	REL2	P04090	ENSG00000107014	9	5299867	5304969
RLN3	6027_31	REL3	Q8WXF3	ENSG00000171136	19	14028147	14031042
RMDN1	7096_30	RMD1	Q96DB5	ENSG00000176623	8	86468256	86514357
RMDN3	9290_8	RMD3	Q96TC7	ENSG00000137824	15	40735883	40755851
RMI1	13926_1	RMI1	Q9H9A7	ENSG00000178966	9	83980710	84004074
RNASE1	7211_2	RNase 1	P07998	ENSG00000129538	14	20801227	20803278
RNASE10	5602_62	RNS10	Q5GAN6	ENSG00000182545	14	20505536	20511169
RNASE13	6424_2	RNS13	Q5GAN3	ENSG00000206150	14	21032819	21034785
RNASE2	8394_56	RNase 2	P10153	ENSG00000169385	14	20955451	20956436
RNASE3	15576_158	ECP	P12724	ENSG00000169397	14	20891398	20892348
RNASE4	5644_60	RNAS4	P34096	ENSG00000181784	14	20684099	20701215
RNASE6	5646_20	RNAS6	Q93091	ENSG00000169413	14	20781050	20782467
RNASEH1	8470_213	RNase H1	O60930	ENSG00000171865	2	3544792	3558616
RNASET2	16913_8	RNT2	O00584	ENSG00000026297	6	166929503	166957191
RND1	13574_50	RND1	Q92730	ENSG00000172602	12	48857144	48865898
RND3	15439_21	RND3	P61587	ENSG00000115963	2	150468194	150539011
RNF114	9957_9	RN114	Q9Y508	ENSG00000124226	20	49936335	49953892
RNF122	11160_56	RN122	Q9H9V4	ENSG00000133874	8	33547754	33567125
RNF128	6510_56	RN128	Q8TEB7	ENSG00000133135	X	106693794	106797016
RNF128	8633_18	RN128	Q8TEB7	ENSG00000133135	X	106693794	106797016
RNF13	8087_250	RNF13	O43567	ENSG00000082996	3	149812707	149962139
RNF146	11401_181	RN146	Q9NTX7	ENSG00000118518	6	127266609	127288567
RNF148	9955_40	RN148	Q8N7C7	ENSG00000235631	7	122701663	122702967
RNF148	7742_11	RN148	Q8N7C7	ENSG00000235631	7	122701663	122702967
RNF149	9773_15	RN149	Q8NC42	ENSG00000163162	2	101271218	101308701
RNF150	9774_59	RN150	Q9ULK6	ENSG00000170153	4	140859806	141212877
RNF215	7758_217	RN215	Q9Y6U7	ENSG00000099999	22	30368810	30421771
RNF215	9064_12	RN215	Q9Y6U7	ENSG00000099999	22	30368810	30421771
RNF24	9583_17	RNF24	Q9Y225	ENSG00000101236	20	3927308	4015582
RNF34	13386_248	RNF34	Q969K3	ENSG00000271829	12	121400040	121430623
RNF41	13411_21	RNF41	Q9H4P4	ENSG00000181852	12	56202174	56221933
RNF43	14120_2	RNF43	Q68DV7	ENSG00000108375	17	58352499	58417595
RNF8	14663_44	RNF8	O76064	ENSG00000112130	6	37353971	37394738
RNGTT	12847_27	MCE1	O60942	ENSG00000111880	6	88610271	88963721
RNPC3	12814_17	RBM40	Q96LT9	ENSG00000185946	1	103525690	103555239
RNPEP	12386_11	AMPB	Q9H4A4	ENSG00000176393	1	201982371	202006147
ROBLD3	15329_167	MAPIP	Q9Y2Q5	ENSG00000116586	1	156054782	156058506
ROBO1	5740_17	ROBO1	Q9Y6N7	ENSG00000169855	3	78597239	79767815
ROBO2	5116_62	ROBO2	Q9HCK4	ENSG00000185008	3	75906694	77649964
ROBO3	5117_14	ROBO3	Q96MS0	ENSG00000154134	11	124865385	124881470
ROBO4	16297_14	ROBO4	Q8WZ75	ENSG00000154133	11	124883690	124898500
ROCK2	13654_1	ROCK2	O75116	ENSG00000134318	2	11179760	11348330
ROR1	2590_69	ROR1	Q01973	ENSG00000185483	1	63774021	64181498
ROR2	7861_9	ROR2	Q01974	ENSG00000169071	9	91563090	91950162
RORB	12483_62	RORB	Q92753	ENSG00000198963	9	74497364	74693177
RORC	11827_7	RORG	P51449	ENSG00000143365	1	151806070	151831872
ROS1	9032_30	ROS1	P08922	ENSG00000047936	6	117288299	117425855
RPA2	19264_6	RFA2	P15927	ENSG00000117748	1	27891523	27914746
RPE	12646_2	RPE	Q96AT9	ENSG00000197713	2	210002564	210022259
RPIA	12333_87	RPIA	P49247	ENSG00000153574	2	88691643	88750935
RPL12	19183_164	RL12	P30050	ENSG00000197958	9	127447673	127451405
RPL30	12478_15	RL30	P62888	ENSG00000156482	8	98024850	98046469
RPLP2	10949_59	RLA2	P05387	ENSG00000177600	11	809646	812880
RPN1	6458_6	RPN1	P04843	ENSG00000163902	3	128619969	128681075
RPN1	10490_3	RPN1	P04843	ENSG00000163902	3	128619969	128681075
RPP30	17511_10	RPP30	P78346	ENSG00000148688	10	90871715	90908553
RPRD1A	13515_8	RPR1A	Q96P16	ENSG00000141425	18	35984386	36067576
RPRD1B	19126_4	C20orf77	Q9NQG5	ENSG00000101413	20	38033545	38127780
RPS10	13011_20	RS10	P46783	ENSG00000124614	6	34417453	34426125
RPS19	19166_15	RS19	P39019	ENSG00000105372	19	41859917	41872926
RPS3	5026_66	RS3	P23396	ENSG00000149273	11	75399485	75422280
RPS3A	5484_63	RS3A	P61247	ENSG00000145425	4	151099572	151104652
RPS4X	9758_17	RS4X	P62701	ENSG00000198034	X	72255679	72277248
RPS5	19195_85	RS5	P46782	ENSG00000083845	19	58386399	58394806
RPS6KA1	12329_21	KS6A1	Q15418	ENSG00000117676	1	26529760	26575030
RPS6KA3	3469_74	RPS6KA3	P51812	ENSG00000177189	X	20149911	20267519
RPS6KA6	12688_115	KS6A6	Q9UK32	ENSG00000072133	X	84058346	84206356
RPS6KB1	15608_5	KS6B1	P23443	ENSG00000108443	17	59893045	59950564
RPS6KB1	8962_48	KS6B1	P23443	ENSG00000108443	17	59893045	59950564
RPS7	3864_5	RS7	P62081	ENSG00000171863	2	3575204	3580919
RPSA	19623_26	40S ribosomal protein SA	P08865	ENSG00000168028	3	39406688	39412542
RQCD1	8975_26	RCD1	Q92600	ENSG00000144580	2	218568580	218597080
RRAGC	12548_75	RRAGC	Q9HB90	ENSG00000116954	1	38838197	38859823
RRAS	17742_2	RRAS	P10301	ENSG00000126458	19	49635291	49640201
RRAS2	12361_102	RRAS2	P62070	ENSG00000133818	11	14277925	14364506
RRBP1	9913_4	RRBP1	Q9P2E9	ENSG00000125844	20	17613677	17682295
RRM1	11360_39	RRM1	P23921	ENSG00000167325	11	4094706	4138876
RRM2	17750_8	RIR2	P31350	ENSG00000171848	2	10120697	10131419
RRM2B	8925_25	RIR2B	Q7LG56	ENSG00000048392	8	102204501	102239118
RS1	6497_10	XLRS1	O15537	ENSG00000102104	X	18639688	18672108
RSPO1	6240_70	RSPO1	Q2MKA7	ENSG00000169218	1	37611349	37634923
RSPO1	16614_27	RSPO1	Q2MKA7	ENSG00000169218	1	37611349	37634923
RSPO2	8409_3	RSPO2	Q6UXX9	ENSG00000147655	8	107899315	108083648
RSPO2	4566_24	RSPO2	Q6UXX9	ENSG00000147655	8	107899315	108083648
RSPO3	13094_75	RSPO3	Q9BXY4	ENSG00000146374	6	127118603	127197765
RSPO3	8427_118	RSPO3	Q9BXY4	ENSG00000146374	6	127118603	127197765
RSPO4	8464_31	RSPO4	Q2I0M5	ENSG00000101282	20	958451	1002264
RSRP1	9050_170	CA063	Q9BUV0	ENSG00000117616	1	25242249	25338213
RTF1	7741_111	RTF1	Q92541	ENSG00000137815	15	41408407	41483563
RTN4IP1	18180_58	RT4I1	Q8WWV3	ENSG00000130347	6	106571970	106629487
RTN4R	5105_2	Nogo Receptor	Q9BZR6	ENSG00000040608	22	20241414	20283246
RTP4	18315_38	RTP4	Q96DX8	ENSG00000136514	3	187368331	187372076
RUFY1	11425_31	RUFY1	Q96T51	ENSG00000176783	5	179550557	179610026
RUNX3	11138_16	RUNX3	Q13761	ENSG00000020633	1	24899510	24965121
RUVBL1	12365_108	RUVB1	Q9Y265	ENSG00000175792	3	128064777	128153914
RXFP1	14135_3	RXFP1	Q9HBX9	ENSG00000171509	4	158315310	158653372
RYK	5583_62	RYK	P34925	ENSG00000163785	3	134065302	134250744
S100A10	15318_75	Calpactin I light chain	P60903	ENSG00000197747	1	151982914	151994390
S100A11	14011_17	S100A11	P31949	ENSG00000163191	1	152032505	152047907
S100A12	5852_6	S100A12	P80511	ENSG00000163221	1	153373705	153375649
S100A13	7223_60	S100A13	Q99584	ENSG00000189171	1	153618786	153631360
S100A14	17828_3	S100A14	Q9HCY8	ENSG00000189334	1	153614254	153616986
S100A16	17836_17	S100A16	Q96FQ6	ENSG00000188643	1	153606885	153613145
S100A2	11969_5	S100A2	P29034	ENSG00000196754	1	153561107	153567890
S100A3	15297_3	S100A3	P33764	ENSG00000188015	1	153547328	153549372
S100A4	14116_129	S100A4	P26447	ENSG00000196154	1	153543612	153550136
S100A5	15303_63	S100A5	P33763	ENSG00000196420	1	153537146	153541765
S100A6	13090_17	S100A6	P06703	ENSG00000197956	1	153534598	153536244
S100A7	7916_10	S100A7	P31151	ENSG00000143556	1	153457743	153460701
S100A8|S100A9	17145_1	S100A8/S100A9	P05109|P06702	ENSG00000143546|ENSG00000163220	X	NA	NA
S100A9	5339_49	calgranulin B	P06702	ENSG00000163220	1	153357853	153361027
S100P	9926_4	S100P	P25815	ENSG00000163993	4	6693068	6697170
S100Z	18928_10	S100Z	Q8WXG8	ENSG00000171643	5	76850000	76921650
SAA1	15515_2	SAA	P0DJI8	ENSG00000173432	11	18266173	18269977
SAA2	18832_65	SAA2	P0DJI9	ENSG00000134339	11	18239222	18248643
SAA4	15516_12	SAA-4	P35542	ENSG00000148965	11	18231348	18236893
SAMHD1	11303_7	SAMH1	Q9Y3Z3	ENSG00000101347	20	36890228	36951843
SAP18	12830_4	SAP18	O00422	ENSG00000150459	13	21140513	21149084
SAP30	12888_18	SAP30	O75446	ENSG00000164105	4	173369968	173377532
SAR1A	17726_3	SAR1A	Q9NR31	ENSG00000079332	10	70147288	70170523
SARS	18178_13	SYSC	P49591	ENSG00000031698	1	109213917	109238169
SARS2	12348_46	SYSM	Q9NP81	ENSG00000104835	19	38915265	38930896
SAT1	9859_180	SSAT-1	P21673	ENSG00000130066	X	23783173	23786210
SAT2	12524_18	SAT2	Q96F10	ENSG00000141504	17	7626233	7627876
SATB1	13511_29	SATB1	Q01826	ENSG00000182568	3	18345386	18445588
SATB2	10081_17	SATB2	Q9UPW6	ENSG00000119042	2	199269499	199471266
SAYSD1	6594_64	SMDC1	Q9NPB0	ENSG00000112167	6	39104063	39115189
SBDS	3866_7	SBDS	Q9Y3A5	ENSG00000126524	7	66987676	66995601
SCAMP5	13509_5	SCAM5	Q8TAC9	ENSG00000198794	15	74957218	75021496
SCAND1	17800_33	SCAND1	P57086	ENSG00000171222	20	35953616	35959472
SCARA3	11292_13	SCAR3	Q6AZY7	ENSG00000168077	8	27633867	27676776
SCARA5	10419_1	SCAR5	Q6ZMJ2	ENSG00000168079	8	27869881	27992727
SCARB2	5100_53	LIMP II	Q14108	ENSG00000138760	4	76158732	76234536
SCARF1	5129_12	SREC-I	Q14162	ENSG00000074660	17	1633857	1645747
SCARF2	9925_56	SREC-II	Q96GP6	ENSG00000244486	22	20424814	20437826
SCARF2	8956_96	SREC-II	Q96GP6	ENSG00000244486	22	20424814	20437826
SCG3	7957_2	SCG3	Q8WXD2	ENSG00000104112	15	51681352	51721031
SCG5	15358_28	7B2	P05408	ENSG00000166922	15	32641675	32697098
SCGB1D2	6508_68	SG1D2	O95969	ENSG00000124935	11	62242209	62244808
SCGB2A1	5001_6	Mammaglobin 2	O75556	ENSG00000124939	11	62208667	62213939
SCGB3A1	6252_62	Secretoglobin family 3A member 1	Q96QR1	ENSG00000161055	5	180590102	180591540
SCGN	15305_7	Secretagogin	O76038	ENSG00000079689	6	25652200	25701783
SCIMP	10510_62	SCIMP	Q6UWF3	ENSG00000161929	17	5208960	5234860
SCIN	12684_5	ADSV	Q9Y6U3	ENSG00000006747	7	12570576	12660179
SCMH1	12604_16	SCMH1	Q96GD3	ENSG00000010803	1	41027199	41242154
SCN2B	8353_15	SCN2B	O60939	ENSG00000149575	11	118161950	118176673
SCN4B	7911_29	SCN4B	Q8IWT1	ENSG00000177098	11	118133376	118152888
SCO1	7853_19	SCO1	O75880	ENSG00000133028	17	10672473	10698375
SCO2	16851_50	SCO2	O43819	ENSG00000130489	22	50523567	50526439
SCP2D1	14175_78	SCP2D	Q9UJQ7	ENSG00000132631	20	18813725	18814392
SCT	3728_52	Secretin	P09683	ENSG00000070031	11	626430	627143
SCUBE1	8989_40	SCUB1	Q8IWY4	ENSG00000159307	22	43197282	43343388
SCUBE3	16773_29	SCUB3	Q8IX30	ENSG00000146197	6	35214418	35253079
SDC3	16612_28	SDC3	O75056	ENSG00000162512	1	30869466	30908761
SDCBP	17806_6	Syntenin 1	O00560	ENSG00000137575	8	58552923	58582860
SDCBP2	19261_12	SDCB2	Q9H190	ENSG00000125775	20	1309908	1329239
SDF2	15333_11	SDF2	Q99470	ENSG00000132581	17	28648355	28662189
SDF2L1	6990_44	SDF2L	Q9HCN8	ENSG00000128228	22	21642260	21644298
SDHAF2	6420_4	SDHF2	Q9NX18	ENSG00000167985	11	61430041	61447529
SDSL	17777_31	SDSL	Q96GA7	ENSG00000139410	12	113422236	113438276
SEC13	14689_3	SEC13	P55735	ENSG00000157020	3	10293130	10321178
SEC22A	13713_164	SC22A	Q96IW7	ENSG00000121542	3	123201926	123274130
SEC61B	7878_2	SC61B	P60468	ENSG00000106803	9	99222063	99230615
SEC61G	8872_1	SC61G	P60059	ENSG00000132432	7	54752249	54759974
SECTM1	13093_6	SECTM1	Q8WVN6	ENSG00000141574	17	82321023	82334074
SEL1L2	9082_25	SE1L2	Q5TEA6	ENSG00000101251	20	13849246	13996443
SELE	3470_1	sE-Selectin	P16581	ENSG00000007908	1	169722640	169764705
SELH	17319_1	SELH	Q8IZQ5	ENSG00000211450	11	57741491	57743554
SELL	4831_4	sL-Selectin	P14151	ENSG00000188404	1	169690666	169711698
SELP	4154_57	P-Selectin	P16109	ENSG00000174175	1	169588848	169630193
SELPLG	11266_8	SELPL	Q14242	ENSG00000110876	12	108622276	108633959
SEMA3A	3222_11	Semaphorin 3A	Q14563	ENSG00000075213	7	83955776	84492724
SEMA3C	6448_36	Sema E	Q99985	ENSG00000075223	7	80742537	80922359
SEMA3E	5363_51	Semaphorin 3E	O15041	ENSG00000170381	7	83363905	83649010
SEMA3G	5628_21	SEM3G	Q9NS98	ENSG00000010319	3	52433052	52445085
SEMA4A	16915_153	SEM4A	Q9H3S1	ENSG00000196189	1	156147365	156177752
SEMA4B	9805_51	SEM4B	Q9NPR2	ENSG00000185033	15	90160603	90229679
SEMA4C	7923_41	SEM4C	Q9C0C4	ENSG00000168758	2	96859715	96870757
SEMA4D	5737_61	SEM4D	Q92854	ENSG00000187764	9	89360786	89498130
SEMA4F	9932_49	SEM4F	O95754	ENSG00000135622	2	74654227	74683853
SEMA5A	13132_14	SEM5A	Q13591	ENSG00000112902	5	9035025	9546075
SEMA6A	7945_10	Semaphorin-6A	Q9H2E6	ENSG00000092421	5	116443615	116574934
SEMA6B	5121_3	SEM6B	Q9H3T3	ENSG00000167680	19	4542592	4559808
SEMA6C	14597_5	SEM6C	Q9H3T2	ENSG00000143434	1	151131684	151146664
SEMA6C	7202_107	SEMA6C	Q9H3T2	ENSG00000143434	1	151131684	151146664
SEMA7A	7019_13	Semaphorin-7A	O75326	ENSG00000138623	15	74409288	74434467
SEMG1	7115_5	Semenogelin	P04279	ENSG00000124233	20	45206996	45209772
SENP7	12626_6	SENP7	Q9BQF6	ENSG00000138468	3	101324204	101513241
3-Sep	18316_75	3-Sep	Q9UH03	ENSG00000100167	22	41969443	41998221
6-Sep	17693_2	Septin-6	Q14141	ENSG00000125354	X	119615724	119693370
10-Sep	12690_33	10-Sep	Q9P0V9	ENSG00000186522	2	109542799	109614143
11-Sep	12620_3	Septin-11	Q9NVA2	ENSG00000138758	4	76949751	77040384
SEPHS1	14083_25	SPS1	P49903	ENSG00000086475	10	13317423	13348298
SEPSECS	17357_33	SPCS	Q9HD40	ENSG00000109618	4	25120013	25160442
SEPW1	18310_26	SELW	P63302	ENSG00000178980	19	47778677	47784686
SERAC1	8985_13	SRAC1	Q96JX3	ENSG00000122335	6	158109514	158168270
SERF1A	7842_52	SERF1	O75920	ENSG00000205572	5	70900664	70918530
SERF2	18274_2	SERF2	P84101	ENSG00000140264	15	43777086	43802589
SERPINA1	3580_25	a1-Antitrypsin	P01009	ENSG00000197249	14	94376746	94390693
SERPINA10	13119_26	protein Z inhibitor	Q9UK55	ENSG00000140093	14	94280454	94293271
SERPINA11	9002_36	SPA11	Q86U17	ENSG00000186910	14	94442463	94452790
SERPINA12	6551_94	Vaspin	Q8IW75	ENSG00000165953	14	94487273	94517844
SERPINA3	2879_9	a1-Antichymotrypsin	P01011	ENSG00000196136	14	94612376	94624055
SERPINA4	3449_58	Kallistatin	P29622	ENSG00000100665	14	94561090	94569913
SERPINA5	3389_7	PCI	P05154	ENSG00000188488	14	94561441	94593120
SERPINA6	4785_30	CBG	P08185	ENSG00000277405	14	94304247	94323394
SERPINA7	2706_69	Thyroxine-Binding Globulin	P05543	ENSG00000123561	X	106032435	106038727
SERPINA9	7266_4	SPA9	Q86WD7	ENSG00000170054	14	94462716	94479689
SERPINB1	10737_96	Serpin B1	P30740	ENSG00000021355	6	2832331	2842006
SERPINB13	18841_1	SPB13	Q9UIV8	ENSG00000197641	18	63586988	63604639
SERPINB4	15444_45	SCCA2	P48594	ENSG00000206073	18	63637258	63644298
SERPINB5	15417_3	Maspin	P36952	ENSG00000206075	18	63476760	63505085
SERPINB8	19130_81	SPB8	P50452	ENSG00000166401	18	63969924	64019779
SERPINC1	3344_60	Antithrombin III	P01008	ENSG00000117601	1	173903803	173917378
SERPIND1	3316_58	Heparin cofactor II	P05546	ENSG00000099937	22	20773878	20787720
SERPINE1	2925_9	PAI-1	P05121	ENSG00000106366	7	101127088	101139266
SERPINE2	19154_41	Protease nexin I	P07093	ENSG00000135919	2	223975111	224039319
SERPINF1	9211_19	PEDF	P36955	ENSG00000132386	17	1761958	1777574
SERPINF2	3024_18	a2-Antiplasmin	P08697	ENSG00000276838	17	1742835	1755268
SERPING1	4479_14	C1-Esterase Inhibitor	P05155	ENSG00000149131	11	57597386	57614853
SERPINH1	10800_15	Collagen-binding protein	P50454	ENSG00000149257	11	75562055	75572783
SERPINI2	7117_21	SPI2	O75830	ENSG00000114204	3	167441788	167479004
SET	5364_7	SET	Q01105	ENSG00000119335	9	128683423	128696400
SETD2	12647_52	SETD2	Q9BYW2	ENSG00000181555	3	47016428	47163967
SETMAR	12462_20	SETMR	Q53H47	ENSG00000170364	3	4303303	4317567
SEZ6L	19563_3	SEZ6L	Q9BYH1	ENSG00000100095	22	26169473	26383597
SEZ6L2	3867_49	SE6L2	Q6UXD5	ENSG00000174938	16	29871158	29899547
SF1	12777_11	SF01	Q15637	ENSG00000168066	11	64764605	64778786
SF3B4	13449_25	SF3B4	Q15427	ENSG00000263977	1	149923316	149928344
SFN	4829_43	STRATIFIN	P31947	ENSG00000175793	1	26863137	26864457
SFRP1	3221_54	SARP-2	Q8N474	ENSG00000104332	8	41261957	41309497
SFRP2	7751_121	SARP-1	Q96HF1	ENSG00000145423	4	153780591	153789120
SFRP4	17447_52	SFRP4	Q6FHJ7	ENSG00000106483	7	37905931	38025695
SFTA2	10580_14	SFTA2	Q6UW10	ENSG00000225454	6	30931352	30955636
SFTPB	10672_75	SP-B	P07988	ENSG00000168878	2	85657313	85668741
SFTPD	19590_46	SP-D	P35247	ENSG00000133661	10	79937739	79982614
SFXN5	13729_26	SFXN5	Q8TD22	ENSG00000144040	2	72942035	73075619
SGK3	10042_8	SGK3	Q96BR1	ENSG00000104205	8	66712417	66862022
SGTA	3868_8	SGTA	O43765	ENSG00000104969	19	2754713	2783371
SGTB	18837_9	SGTB	Q96EQ0	ENSG00000197860	5	65665927	65723035
SH2D1A	4567_82	SH21A	O60880	ENSG00000183918	X	124227868	124373197
SH2D1B	18840_205	SH21B	O14796	ENSG00000198574	1	162395265	162412138
SH2D3C	12704_26	SH2D3	Q8N5H7	ENSG00000095370	9	127738316	127778741
SH3BGRL	12693_2	SH3L1	O75368	ENSG00000131171	X	81202102	81298547
SH3BGRL2	19113_66	SH3L2	Q9UJC5	ENSG00000198478	6	79631282	79703659
SH3BGRL3	17490_4	SH3BGRL3-like protein	Q9H299	ENSG00000142669	1	26279175	26281522
SH3BP2	7769_29	3BP2	P78314	ENSG00000087266	4	2793022	2841098
SH3GL2	12499_108	SH3G2	Q99962	ENSG00000107295	9	17579081	17797129
SH3GL3	18318_98	SH3G3	Q99963	ENSG00000140600	15	83447227	83618743
SH3GLB1	16859_100	SHLB1	Q9Y371	ENSG00000097033	1	86704569	86748184
SH3GLB2	18222_34	SHLB2	Q9NR46	ENSG00000148341	9	129007035	129028303
SHANK1	13240_170	SHAN1	Q9Y566	ENSG00000161681	19	50661826	50719450
SHBG	4929_55	SHBG	P04278	ENSG00000129214	17	7613945	7633383
SHC1	16043_30	SHC1	P29353	ENSG00000160691	1	154962297	154974395
SHC1	5272_55	SHC1	P29353	ENSG00000160691	1	154962297	154974395
SHC2	14074_2	SHC2	P98077	ENSG00000129946	19	416582	460996
SHC4	11692_21	SHC4	Q6S5L8	ENSG00000185634	15	48823734	48963444
SHH	2743_5	Sonic Hedgehog	Q15465	ENSG00000164690	7	155799985	155812273
SHISA2	10449_31	TMM46	Q6UWI4	ENSG00000180730	13	26044596	26051031
